code_commune,nom_commune,code_departement,nom_departement,nom_region,latitude,longitude,image_1,image_2,image_3,image_4
24393,Sainte-Croix,24,Dordogne,Nouvelle-Aquitaine,44.73418232322224,0.8475859260774696,images\image_443_heading_0.jpg,images\image_443_heading_1.jpg,images\image_443_heading_2.jpg,images\image_443_heading_3.jpg
24544,Tamniès,24,Dordogne,Nouvelle-Aquitaine,44.965221821907264,1.1561797128978366,images\image_444_heading_0.jpg,images\image_444_heading_1.jpg,images\image_444_heading_2.jpg,images\image_444_heading_3.jpg
24183,Fleurac,24,Dordogne,Nouvelle-Aquitaine,45.0021315004262,1.0196173446810841,images\image_445_heading_0.jpg,images\image_445_heading_1.jpg,images\image_445_heading_2.jpg,images\image_445_heading_3.jpg
24037,Bergerac,24,Dordogne,Nouvelle-Aquitaine,44.88780119801638,0.4771816310827412,images\image_446_heading_0.jpg,images\image_446_heading_1.jpg,images\image_446_heading_2.jpg,images\image_446_heading_3.jpg
24037,Bergerac,24,Dordogne,Nouvelle-Aquitaine,44.851388007544685,0.48617817681863457,images\image_447_heading_0.jpg,images\image_447_heading_1.jpg,images\image_447_heading_2.jpg,images\image_447_heading_3.jpg
24392,Saint-Crépin-et-Carlucet,24,Dordogne,Nouvelle-Aquitaine,44.97325128044221,1.3000658906220732,images\image_448_heading_0.jpg,images\image_448_heading_1.jpg,images\image_448_heading_2.jpg,images\image_448_heading_3.jpg
24096,Champagnac-de-Belair,24,Dordogne,Nouvelle-Aquitaine,45.405883782075875,0.6989133506859999,images\image_449_heading_0.jpg,images\image_449_heading_1.jpg,images\image_449_heading_2.jpg,images\image_449_heading_3.jpg
24186,Fonroque,24,Dordogne,Nouvelle-Aquitaine,44.71403759454047,0.39968204246150535,images\image_452_heading_0.jpg,images\image_452_heading_1.jpg,images\image_452_heading_2.jpg,images\image_452_heading_3.jpg
24138,Coulounieix-Chamiers,24,Dordogne,Nouvelle-Aquitaine,45.162983271381364,0.672870180572927,images\image_453_heading_0.jpg,images\image_453_heading_1.jpg,images\image_453_heading_2.jpg,images\image_453_heading_3.jpg
24410,Saint-Front-la-Rivière,24,Dordogne,Nouvelle-Aquitaine,45.448901205813485,0.7288345104194289,images\image_455_heading_0.jpg,images\image_455_heading_1.jpg,images\image_455_heading_2.jpg,images\image_455_heading_3.jpg
